canonical_name,level,abbreviation,hierarchy_path_abbrev,hierarchy_path
Region VI,4,,HUD>CPD>FO,Department of Housing and Urban Development>Community Planning and Development>Field Offices>Region VI
Fish and Wildlife Service Region 5: Northeast,3,,DOI>FWS,Department of the Interior>Fish and Wildlife Service>Fish and Wildlife Service Region 5: Northeast
FWS Headquarters,3,HQ,DOI>FWS,Department of the Interior>Fish and Wildlife Service>FWS Headquarters
Fish and Wildlife Service Region 3: Midwest,3,,DOI>FWS,Department of the Interior>Fish and Wildlife Service>Fish and Wildlife Service Region 3: Midwest
Fish and Wildlife Service Region 4: Southeast,3,,DOI>FWS,Department of the Interior>Fish and Wildlife Service>Fish and Wildlife Service Region 4: Southeast
Fish and Wildlife Service Region 2: Southwest,3,,DOI>FWS,Department of the Interior>Fish and Wildlife Service>Fish and Wildlife Service Region 2: Southwest
Fish and Wildlife Service Region 7: Alaska,3,,DOI>FWS,Department of the Interior>Fish and Wildlife Service>Fish and Wildlife Service Region 7: Alaska
Fish and Wildlife Service Region 8: Pacific Southwest,3,,DOI>FWS,Department of the Interior>Fish and Wildlife Service>Fish and Wildlife Service Region 8: Pacific Southwest
Fish and Wildlife Service Region 1: Pacific,3,,DOI>FWS,Department of the Interior>Fish and Wildlife Service>Fish and Wildlife Service Region 1: Pacific
Fish and Wildlife Service Region 6: Mountain-Prairie,3,,DOI>FWS,Department of the Interior>Fish and Wildlife Service>Fish and Wildlife Service Region 6: Mountain-Prairie
FDA Office of the Commissioner,3,,HHS>FDA,Department of Health and Human Services>Food and Drug Administration>FDA Office of the Commissioner
FDA Office of Acquisition and Grant Services,3,OAGS,HHS>FDA,Department of Health and Human Services>Food and Drug Administration>FDA Office of Acquisition and Grant Services
FDA Office of Operations,3,,HHS>FDA,Department of Health and Human Services>Food and Drug Administration>FDA Office of Operations
Center for Biologics Evaluation and Research,3,CBER,HHS>FDA,Department of Health and Human Services>Food and Drug Administration>Center for Biologics Evaluation and Research
FDA Office of Regulatory Affairs,3,ORA,HHS>FDA,Department of Health and Human Services>Food and Drug Administration>FDA Office of Regulatory Affairs
Center for Drug Evaluation and Research,3,CDER,HHS>FDA,Department of Health and Human Services>Food and Drug Administration>Center for Drug Evaluation and Research
Center for Devices and Radiological Health,3,CDRH,HHS>FDA,Department of Health and Human Services>Food and Drug Administration>Center for Devices and Radiological Health
Center for Tobacco Products,3,CTP,HHS>FDA,Department of Health and Human Services>Food and Drug Administration>Center for Tobacco Products
Center for Veterinary Medicine,3,CVM,HHS>FDA,Department of Health and Human Services>Food and Drug Administration>Center for Veterinary Medicine
National Center for Toxicological Research,3,NCTR,HHS>FDA,Department of Health and Human Services>Food and Drug Administration>National Center for Toxicological Research
Center for Food Safety and Applied Nutrition,3,CFSAN,HHS>FDA,Department of Health and Human Services>Food and Drug Administration>Center for Food Safety and Applied Nutrition
Region VII,4,,HUD>CPD>FO,Department of Housing and Urban Development>Community Planning and Development>Field Offices>Region VII
Child Nutrition Program Division,3,CN,USDA>FNS,Department of Agriculture>Food and Nutrition Service>Child Nutrition Program Division
Food Distribution,3,,USDA>FNS,Department of Agriculture>Food and Nutrition Service>Food Distribution
Supplemental Nutritional Assistance Program,3,SNAP,USDA>FNS,Department of Agriculture>Food and Nutrition Service>Supplemental Nutritional Assistance Program
Special Supplemental Program for Women Infants and Children,3,WIC,USDA>FNS,Department of Agriculture>Food and Nutrition Service>Special Supplemental Program for Women Infants and Children
Procurement Management Branch,3,,USDA>FSIS,Department of Agriculture>Food Safety and Inspection Service>Procurement Management Branch
FSIS Office of Public Health Science,3,OPHS,USDA>FSIS,Department of Agriculture>Food Safety and Inspection Service>FSIS Office of Public Health Science
FSIS Office of Field Operations,3,OFO,USDA>FSIS,Department of Agriculture>Food Safety and Inspection Service>FSIS Office of Field Operations
International Production Assessment Division,3,IPAD,USDA>FAS,Department of Agriculture>Foreign Agricultural Service>International Production Assessment Division
Borlaug Fellowship Program,3,,USDA>FAS,Department of Agriculture>Foreign Agricultural Service>Borlaug Fellowship Program
Region VIII,4,,HUD>CPD>FO,Department of Housing and Urban Development>Community Planning and Development>Field Offices>Region VIII
Region IX,4,,HUD>CPD>FO,Department of Housing and Urban Development>Community Planning and Development>Field Offices>Region IX
Capacity Building & Economic Development,3,,USDA>FAS,Department of Agriculture>Foreign Agricultural Service>Capacity Building & Economic Development
Food for Education,3,,USDA>FAS,Department of Agriculture>Foreign Agricultural Service>Food for Education
Region X,4,,HUD>CPD>FO,Department of Housing and Urban Development>Community Planning and Development>Field Offices>Region X
Administrator,3,,USDA>FAS,Department of Agriculture>Foreign Agricultural Service>Administrator
Local and Regional Food Aid Procurement Program,3,,USDA>FAS,Department of Agriculture>Foreign Agricultural Service>Local and Regional Food Aid Procurement Program
Southwest Regional Maintenance Center,4,SWRMC,DoD>USN>NAVSEA,Department of Defense>Department of the Navy>Naval Sea Systems Command>Southwest Regional Maintenance Center
NAVSUP Fleet Logistics Center Jacksonville,4,,DoD>USN>NAVSUP,Department of Defense>Department of the Navy>Naval Supply Systems Command>NAVSUP Fleet Logistics Center Jacksonville
Global Services,3,,USDA>FAS,Department of Agriculture>Foreign Agricultural Service>Global Services
MSC Headquarters,4,HQ,DoD>USN>MSC,Department of Defense>Department of the Navy>Military Sealift Command>MSC Headquarters
Mid-Atlantic Regional Maintenance Center,4,MARMC,DoD>USN>NAVSEA,Department of Defense>Department of the Navy>Naval Sea Systems Command>Mid-Atlantic Regional Maintenance Center
Cochran Fellowship Program,3,,USDA>FAS,Department of Agriculture>Foreign Agricultural Service>Cochran Fellowship Program
NAVFAC Pacific,4,,DoD>USN>NAVFAC,Department of Defense>Department of the Navy>Naval Facilities Engineering Command>NAVFAC Pacific
NAVFAC Northwest,4,,DoD>USN>NAVFAC,Department of Defense>Department of the Navy>Naval Facilities Engineering Command>NAVFAC Northwest
SUPSHIP Groton,5,,DoD>USN>NAVSEA>SUPSHIP,"Department of Defense>Department of the Navy>Naval Sea Systems Command>Supervisor of Shipbuilding, Conversion Repair>SUPSHIP Groton"
Information Service and Technology Division,3,,USDA>FAS,Department of Agriculture>Foreign Agricultural Service>Information Service and Technology Division
Acquisition Office,3,TCAQ,DoD>USTRANSCOM,Department of Defense>United States Transportation Command>Acquisition Office
Waste Isolation Pilot Plant,3,WIPP,DOE>EM,Department of Energy>Office of Environmental Management>Waste Isolation Pilot Plant
Technical Agricultural Assistance,3,,USDA>FAS,Department of Agriculture>Foreign Agricultural Service>Technical Agricultural Assistance
"Supervisor of Shipbuilding, Conversion Repair",4,SUPSHIP,DoD>USN>NAVSEA,"Department of Defense>Department of the Navy>Naval Sea Systems Command>Supervisor of Shipbuilding, Conversion Repair"
SUPSHIP Gulf Coast,5,,DoD>USN>NAVSEA>SUPSHIP,"Department of Defense>Department of the Navy>Naval Sea Systems Command>Supervisor of Shipbuilding, Conversion Repair>SUPSHIP Gulf Coast"
Denver Service Center,3,DSC,DOI>NPS,Department of the Interior>National Park Service>Denver Service Center
Walter Reed National Military Medical Center,3,WRNMMC,DoD>DHA,Department of Defense>Defense Health Agency>Walter Reed National Military Medical Center
Western Acquisition Division,4,,DOC>NOAA>AGO,Department of Commerce>National Oceanic and Atmospheric Administration>NOAA Acquisition and Grants Office>Western Acquisition Division
Food for Progress,3,,USDA>FAS,Department of Agriculture>Foreign Agricultural Service>Food for Progress
USFS Region 3: Southwestern Region,3,R3,USDA>USFS,Department of Agriculture>Forest Service>USFS Region 3: Southwestern Region
USFS Headquarters,3,HQ,USDA>USFS,Department of Agriculture>Forest Service>USFS Headquarters
Training Center Division,4,,DHS>CBP>OA,Department of Homeland Security>Customs and Border Protection>CBP Office of Administration>Training Center Division
USFS Region 4: Intermountain Region,3,R4,USDA>USFS,Department of Agriculture>Forest Service>USFS Region 4: Intermountain Region
USFS Region 1: Northern Region,3,R1,USDA>USFS,Department of Agriculture>Forest Service>USFS Region 1: Northern Region
USFS Region 10: Alaska Region,3,R10,USDA>USFS,Department of Agriculture>Forest Service>USFS Region 10: Alaska Region
USFS Region 6: Pacific Northwest Region,3,R6,USDA>USFS,Department of Agriculture>Forest Service>USFS Region 6: Pacific Northwest Region
USFS Region 2: Rocky Mountain Region,3,R2,USDA>USFS,Department of Agriculture>Forest Service>USFS Region 2: Rocky Mountain Region
USFS Region 8: Southern Region,3,R8,USDA>USFS,Department of Agriculture>Forest Service>USFS Region 8: Southern Region
State and Private Forestry,3,S&PF,USDA>USFS,Department of Agriculture>Forest Service>State and Private Forestry
Forest Research Service,3,FRS,USDA>USFS,Department of Agriculture>Forest Service>Forest Research Service
USFS Region 5: Pacific Southwest Region,3,R5,USDA>USFS,Department of Agriculture>Forest Service>USFS Region 5: Pacific Southwest Region
Law Enforcement and Investigations,3,LEI,USDA>USFS,Department of Agriculture>Forest Service>Law Enforcement and Investigations
Forest Service Job Corps,3,,USDA>USFS,Department of Agriculture>Forest Service>Forest Service Job Corps
Fire and Aviation Management,3,FAM,USDA>USFS,Department of Agriculture>Forest Service>Fire and Aviation Management
National Technology and Development Program,3,,USDA>USFS,Department of Agriculture>Forest Service>National Technology and Development Program
USFS Region 9: Eastern Region,3,R9,USDA>USFS,Department of Agriculture>Forest Service>USFS Region 9: Eastern Region
Technology Acquisition Center,3,TAC,VA>HQ,Department of Veterans Affairs>VA Headquarters>Technology Acquisition Center
VA Office of Construction and Facilities Management,3,CFM,VA>HQ,Department of Veterans Affairs>VA Headquarters>VA Office of Construction and Facilities Management
Strategic Acquisition Center Frederick,3,SAC,VA>HQ,Department of Veterans Affairs>VA Headquarters>Strategic Acquisition Center Frederick
VA Office of Small and Disadvantaged Business Utilization,3,OSDBU,VA>HQ,Department of Veterans Affairs>VA Headquarters>VA Office of Small and Disadvantaged Business Utilization
VA Office of Administration,3,OA,VA>HQ,Department of Veterans Affairs>VA Headquarters>VA Office of Administration
Program Contracting Activity Central,3,PCAC,VA>HQ,Department of Veterans Affairs>VA Headquarters>Program Contracting Activity Central
Financial Services Center,3,,VA>HQ,Department of Veterans Affairs>VA Headquarters>Financial Services Center
VA Office of the Secretary,3,,VA>HQ,Department of Veterans Affairs>VA Headquarters>VA Office of the Secretary
National Acquisition Center,3,NAC,VA>HQ,Department of Veterans Affairs>VA Headquarters>National Acquisition Center
VA Office of Public and Intergovernmental Affairs,3,OPA,VA>HQ,Department of Veterans Affairs>VA Headquarters>VA Office of Public and Intergovernmental Affairs
Secretary of State,3,,DOS>HQ,Department of State>DOS Headquarters>Secretary of State
DOS Office of the Inspector General,3,OIG,DOS>HQ,Department of State>DOS Headquarters>DOS Office of the Inspector General
DOS Office of Small and Disadvantaged Business Utilization,3,OSDBU,DOS>HQ,Department of State>DOS Headquarters>DOS Office of Small and Disadvantaged Business Utilization
